microinvest_code,name_bg,unit_raw,unit,quantity,purchase_price
07010701,ВЪЖЕ ПАРАФИНИР.КАНАП 1ООм.,БР.,pcs,9.000,0.92
07010707,ВЪЖЕ ПЕК Ф10мм./100м./**,ТОП,bundle,1.000,37.84
070101102,ВЪЖЕ ПЕК Ф4мм/300м./**,БР.,pcs,1.000,22.50
07010705,ВЪЖЕ ПЕК Ф5мм/250м./**,ТОП,bundle,1.000,33.75
070101005,ВЪЖЕ ППК Ф8мм/150м./цветно,БР.,pcs,1.000,16.36
07010671,ВЪЖЕ РАФИЯ /КГ./,КГ.,kg,25.480,2.05
01010253,"ГАЗ.КОТЛОН ТУРИСТ.""РОЗА""-БГ",БР.,pcs,62.000,2.81
01010024,ГАЗ.КОТЛОН ТУРИСТ.К635 ТУРБО**,БР.,pcs,20.000,2.66
01010330,ГАЗ.СКАРА 2-НА RAMBO 2,БР.,pcs,2.000,46.02
05060084,ГАЛОШИ ЕВРО N39 /20бр./**,БР.,pcs,22.000,1.64
05060085,ГАЛОШИ ЕВРО N40 /20бр./**,БР.,pcs,15.000,1.53
05060086,ГАЛОШИ ЕВРО N41 /20бр./**,БР.,pcs,20.000,1.53
05060088,ГАЛОШИ ЕВРО N43 /20бр./**,БР.,pcs,39.000,1.53
05060089,ГАЛОШИ ЕВРО N44 /20бр./**,БР.,pcs,58.000,1.53
05060090,ГАЛОШИ ЕВРО N45 /20бр./**,БР.,pcs,30.000,1.53
05060092,ГАЛОШИ ЕВРО N47 /20бр./**,БР.,pcs,36.000,1.15
05060095,ГАЛОШИ ЕВРО ДАМСКИ N38 /20бр**,БР.,pcs,62.000,1.28
05060104,ГАЛОШИ ЕВРО С ВАТА N46/47 15**,БР.,pcs,54.000,2.46
СТ03  132,ГОФРЕ Ф32-132 АСЕТ,бр.,pcs,61.000,0.41
СТ03  108,ГОФРЕ Ф40-108 АСЕТ,бр.,pcs,53.000,0.41
CH12043,ГРАДИНСКИ КОМПЛЕКТ 3Ч.МТ-126,БР,pcs,15.000,1.01
05010806,ГРАДИНСКИ КОМПЛЕКТ 3час.МАЛЪ**,БР.,pcs,4.000,0.73
05010805,ГРАДИНСКИ КОМПЛЕКТ 5части**,БР.,pcs,7.000,1.21
CHК3048,ГРЕБЛО ЛИСТА М3-73**,БР,pcs,62.000,0.57
05010616,ГРЕБЛО-ЗА ЛИСТА С 22 ЗЪБА**,БР.,pcs,28.000,0.60
05020171,ГРИВНА ЗА ЧНП 1800W,БР.,pcs,35.000,0.33
05020169,ГРИВНА ЗА ЧНП 800W,БР.,pcs,47.000,0.20
СИ00 689558,ГУМА ВЪТР.3.25/8D 360ММ.,БР.,pcs,55.000,0.90
СИ00 689568,ГУМА ВЪТР.4.80/4.00-8 D380мм,БР.,pcs,5.000,1.31
0701741,"ГУМИЧКИ К-Т ЗА ПРЪСК.""GARDEN""",БР.,pcs,34.000,1.11
03030222,ГЮН.КЛЮЧ ДВ.ПРОТИВ.NE07,БР.,pcs,64.000,0.89
03030220,ГЮНС.YAW.КЛЮЧ 2-ЕН YV03,БР.,pcs,88.000,0.61
03030219,ГЮНС.YAW.КЛЮЧ ЕД.СВЕТ.VO2,БР.,pcs,38.000,0.66
03030229,ГЮНС.YAW.КЛЮЧ ЗВЪН.YW11,БР.,pcs,103.000,0.48
03030230,ГЮНС.YAW.КЛЮЧ ЗВЪН.СВЕТ.YW12,БР.,pcs,49.000,0.71
03030148,ГЮНС.YAW.КЛЮЧ СТ+ВР.YV10,БР.,pcs,49.000,0.51
03030226,ГЮНС.YAW.КЛЮЧ СТЪЛБ.YW05,БР.,pcs,71.000,0.48
03030227,ГЮНС.YAW.КЛЮЧ СТЪЛБ.СВЕ.YW06,БР.,pcs,49.000,0.68
03030231,ГЮНС.YAW.КОНТ.С КАПАК YW17,БР.,pcs,23.000,0.64
03030075,ГЮНС.КЛЮЧ ДВ.FA-03,БР.,pcs,75.000,0.82
03030074,ГЮНС.КЛЮЧ ДВ.СВЕТЕЩ FA-04,БР.,pcs,198.000,1.04
03030144,ГЮНС.КЛЮЧ ЕД.СВЕТ.FA-02,БР.,pcs,18.000,0.90
03030142,ГЮНС.КЛЮЧ ЗВЪН.FA-11,БР.,pcs,38.000,0.71
03030141,ГЮНС.КЛЮЧ ЗВЪН.ТАБ.FA-12,БР.,pcs,37.000,0.92
03030078,ГЮНС.КЛЮЧ СТЪЛБ.FA-05,БР.,pcs,24.000,0.71
03030143,ГЮНС.КЛЮЧ СТЪЛБ.СВЕТЕЩ FA-06,БР.,pcs,22.000,0.94
03010185,ДЕФЕКТО ТОК.ЗАЩИТА 63А 300mА,БР.,pcs,5.000,41.72
07010860,ДЖАПАНКИ /6бр.СТЕК/**,БР.,pcs,25.000,0.92
ОСДРM-11-0004,ДРОСЕЛ 18W PELSAN,БР.,pcs,14.000,1.96
05070294,ДРЪЖКА DUNYA 70мм СЕКР.БЯЛА**,БР.,pcs,26.000,1.53
05070295,ДРЪЖКА DUNYA 90мм ОБИКН.ЧЕРН**,БР.,pcs,31.000,1.53
05070624,ДРЪЖКА DUNYA 90мм СЕКР.ЧЕРНА**,БР.,pcs,6.000,1.53
05070058,ДРЪЖКА KALE LUX WC 70/OZEN/,БР.,pcs,9.000,9.10
05070433,ДРЪЖКА KUMRU АЛБИФР.WC 70мм.,БР.,pcs,18.000,4.60
05070430,ДРЪЖКА KUMRU АЛБИФР.WC 90мм.,БР.,pcs,6.000,4.60
05070118,ДРЪЖКА LALE ОБИК.+РОЗЕТКА,БР.,pcs,2.000,4.09
05070117,ДРЪЖКА LALE СЕКР.+РОЗЕТКА,БР.,pcs,3.000,4.09
05070577,ДРЪЖКА OZEN АЛБИФР.WC 70мм.,БР.,pcs,4.000,4.09
05070427,ДРЪЖКА OZEN АЛБИФР.WC 90мм.,БР.,pcs,16.000,4.09
05070576,ДРЪЖКА OZEN ЗЛАТО WC 90мм.,БР.,pcs,17.000,5.11
05070571,ДРЪЖКА OZEN САТЕН WC 90мм.,БР.,pcs,18.000,4.09
08020270,ДРЪЖКА ЗА ЧЕТКА ЗА КОТЛЕ,БР,pcs,18.000,1.12
05070325,ДРЪЖКА ОБ.90 МЕТАЛ/ВАРНА,БР.,pcs,109.000,1.02
ОБ00О7Б,ДРЪЖКА ОБКОВ 70мм.обикн.БЯЛА,БР.,pcs,6.000,2.22
ОБ00С7Ш,ДРЪЖКА ОБКОВ 70мм.секр.ШАГРЕН,БР.,pcs,19.000,2.22
ОБ00С9Б,ДРЪЖКА ОБКОВ 90мм.секр.БЯЛА,БР.,pcs,22.000,2.22
ОБ00С9Ш,ДРЪЖКА ОБКОВ 90мм.секр.ШАГРЕН,БР.,pcs,9.000,2.22
05070466,ДРЪЖКА ОЛИВКА ЧЕРНА СОНИКО,БР.,pcs,16.000,0.85
05070467,ДРЪЖКА ОЛИВКА ШАГРЕН СОНИКО,БР.,pcs,9.000,0.85
